Timestamp,SecondsBehindLive,Buffer,VideoIndexDownloading,VideoBitrate,PlaybackRate
7.5,1.803,1.762,3,1000,0.887
7.8,1.851,1.65,3,1000,0.902
8.1,1.91,1.643,3,1000,0.903
8.4,1.915,1.494,3,1000,0.908
8.7,1.936,1.259,3,1000,0.879
9.0,1.992,1.649,3,1000,0.938
9.3,2.006,2.062,3,1000,0.882
9.6,2.058,1.924,3,1000,0.921
9.9,2.064,2.014,3,1000,0.87
10.2,2.103,2.054,3,1000,0.921
10.5,2.161,1.858,3,1000,0.899
10.8,2.176,1.96,3,1000,0.86
11.1,2.199,2.165,3,1000,0.858
11.4,2.236,1.867,3,1000,0.932
11.7,2.258,1.914,3,1000,0.879
12.0,2.312,1.904,3,1000,0.93
12.3,2.329,2.066,3,1000,0.864
12.6,2.371,2.3,3,1000,0.896
12.9,2.391,2.34,3,1000,0.914
13.2,2.389,2.344,3,1000,0.915
13.5,2.456,2.338,3,1000,0.905
13.8,2.465,2.214,3,1000,0.939
14.1,2.495,2.545,3,1000,0.894
14.4,2.538,2.503,3,1000,0.873
14.7,2.552,2.494,3,1000,0.923
15.0,2.576,2.522,3,1000,0.907
15.3,2.597,2.477,3,1000,0.935
15.6,2.646,2.258,3,1000,0.871
15.9,2.683,2.499,3,1000,0.937
16.2,2.663,2.678,3,1000,0.967
16.5,2.717,2.533,3,1000,0.952
16.8,2.719,2.844,3,1000,0.913
17.1,2.738,2.71,3,1000,0.938
17.4,2.734,2.636,3,1000,0.931
17.7,2.793,2.738,3,1000,0.96
18.0,2.794,2.519,3,1000,0.894
18.3,2.808,2.688,3,1000,0.969
18.6,2.831,2.771,3,1000,1.006
18.9,2.833,2.759,3,1000,0.981
19.2,2.852,2.775,3,1000,0.975
19.5,2.877,2.726,3,1000,0.942
19.8,2.877,2.599,3,1000,0.949
20.1,2.914,2.734,3,1000,0.939
20.4,2.857,2.456,3,1000,0.961
20.7,2.902,2.58,3,1000,0.965
21.0,2.915,2.655,3,1000,0.98
21.3,2.912,2.824,3,1000,1.003
21.6,2.927,3.044,3,1000,1.0
21.9,2.893,2.857,3,1000,0.951
22.2,2.925,2.877,3,1000,0.99
22.5,2.943,2.862,3,1000,1.006
22.8,2.947,2.904,3,1000,0.978
23.1,2.946,2.912,3,1000,1.01
23.4,2.944,2.891,3,1000,0.954
23.7,2.951,3.106,3,1000,0.988
24.0,2.97,2.829,3,1000,0.965
24.3,2.972,2.769,3,1000,0.956
24.6,2.97,2.922,3,1000,1.02
24.9,2.981,2.82,3,1000,0.95
25.2,2.972,2.916,3,1000,0.962
25.5,2.99,2.969,3,1000,1.009
25.8,2.971,2.91,3,1000,0.96
26.1,2.988,2.94,3,1000,0.978
26.4,2.974,2.87,3,1000,0.934
26.7,2.975,3.093,3,1000,0.988
27.0,2.982,2.943,3,1000,0.984
27.3,2.991,2.907,3,1000,0.984
27.6,2.993,2.962,3,1000,1.018
27.9,2.973,2.912,3,1000,0.996
28.2,2.984,2.842,3,1000,0.952
28.5,3.01,2.722,3,1000,0.97
28.8,2.998,2.953,3,1000,1.043
29.1,2.983,2.846,3,1000,1.002
29.4,2.989,2.775,3,1000,1.043
29.7,3.0,2.559,3,1000,0.947
30.0,3.017,2.789,3,1000,1.01
30.3,2.993,2.914,3,1000,0.998
30.6,3.004,2.775,3,1000,1.009
30.9,2.997,2.828,3,1000,0.987
31.2,2.983,2.957,3,1000,1.01
31.5,2.994,2.943,3,1000,0.985
31.8,2.999,2.917,3,1000,1.007
32.1,3.013,2.941,3,1000,0.976
32.4,2.993,2.912,3,1000,0.98
32.7,2.999,2.957,3,1000,1.043
33.0,2.996,2.933,3,1000,0.976
33.3,3.011,2.951,3,1000,1.01
33.6,3.013,2.977,3,1000,1.027
33.9,3.0,2.817,3,1000,1.013
34.2,3.014,2.962,3,1000,1.0
34.5,2.987,2.912,3,1000,0.994
34.8,3.019,2.93,3,1000,0.968
35.1,2.993,2.937,3,1000,1.014
35.4,3.01,2.908,3,1000,0.992
35.7,3.037,2.952,3,1000,1.029
36.0,2.99,2.97,3,1000,0.964
36.3,2.998,3.19,3,1000,1.014
36.6,3.0,2.987,3,1000,1.007
36.9,3.012,2.883,3,1000,1.034
37.2,2.993,2.906,3,1000,0.976
37.5,3.006,2.772,3,1000,1.011
37.8,2.989,2.568,3,1000,1.032
38.1,3.021,2.637,3,1000,0.973
38.4,2.999,2.882,3,1000,1.007
38.7,3.025,2.72,3,1000,0.998
39.0,2.989,2.471,3,1000,1.045
39.3,3.007,2.649,3,1000,1.013
39.6,3.011,2.962,3,1000,0.966
39.9,2.985,2.983,3,1000,1.017
40.2,2.985,2.955,3,1000,1.057
40.5,3.018,2.86,3,1000,0.998
40.8,2.972,2.913,3,1000,1.054
41.1,2.991,2.635,3,1000,0.974
41.4,3.011,3.069,3,1000,1.017
41.7,3.003,2.804,3,1000,1.037
42.0,2.981,2.504,3,1000,0.971
42.3,2.991,2.531,3,1000,1.036
42.6,3.005,2.546,3,1000,0.99
42.9,3.002,2.604,3,1000,0.981
43.2,3.011,3.147,3,1000,0.978
43.5,3.001,2.927,3,1000,1.033
43.8,2.984,2.908,3,1000,0.976
44.1,3.006,3.125,3,1000,0.996
44.4,2.984,2.862,3,1000,0.984
44.7,2.969,2.962,3,1000,1.023
45.0,3.028,2.907,3,1000,1.003
45.3,3.021,2.96,3,1000,1.007
45.6,2.972,2.975,3,1000,1.042
45.9,3.004,2.833,3,1000,0.999
46.2,2.988,2.987,3,1000,0.979
46.5,3.016,2.933,3,1000,1.041
46.8,3.007,2.934,3,1000,1.008
47.1,3.011,2.929,3,1000,0.986
47.4,3.003,2.907,3,1000,1.019
47.7,2.995,2.95,3,1000,1.024
48.0,3.001,2.803,3,1000,0.998
48.3,3.02,2.961,3,1000,1.003
48.6,2.99,2.723,3,1000,0.977
48.9,2.998,2.844,3,1000,1.001
49.2,3.003,2.623,3,1000,1.006
49.5,2.984,2.849,3,1000,1.015
49.8,3.001,2.945,3,1000,0.972
50.1,3.019,2.979,3,1000,1.045
50.4,3.018,3.013,3,1000,0.94
50.7,3.012,2.663,3,1000,1.002
51.0,3.003,2.45,3,1000,0.999
51.3,3.016,2.71,3,1000,0.971
51.6,3.007,2.648,3,1000,1.03
51.9,3.042,2.373,3,1000,1.021
52.2,3.02,2.556,3,1000,0.966
52.5,3.0,2.683,3,1000,1.005
52.8,2.999,2.916,3,1000,1.045
53.1,3.001,2.868,3,1000,0.965
53.4,2.99,3.1,3,1000,1.026
53.7,3.01,2.918,3,1000,1.003
54.0,3.01,2.729,3,1000,0.947
54.3,2.992,2.549,3,1000,0.952
54.6,3.003,2.644,3,1000,0.992
54.9,2.985,2.916,3,1000,1.021
55.2,2.996,2.531,3,1000,0.984
55.5,2.999,2.743,3,1000,1.031
55.8,2.998,2.937,3,1000,0.956
56.1,2.997,2.968,3,1000,0.989
56.4,2.982,2.947,3,1000,0.976
56.7,3.006,2.941,3,1000,1.015
57.0,2.991,2.938,3,1000,1.016
57.3,3.013,2.807,3,1000,1.009
57.6,2.991,2.939,3,1000,0.925
57.9,2.99,2.878,3,1000,1.007
58.2,3.007,2.977,3,1000,1.019
58.5,3.007,2.946,3,1000,0.994
58.8,3.017,2.937,3,1000,1.029
59.1,3.003,2.943,3,1000,0.976
59.4,2.982,2.914,3,1000,1.016
59.7,2.988,2.54,3,1000,1.043
60.0,2.976,2.264,3,1000,0.993
60.3,3.023,2.496,3,1000,0.98
60.6,2.985,2.229,3,1000,1.018
60.9,3.028,1.963,3,1000,0.99
61.2,2.972,1.745,3,1000,1.027
61.5,3.018,2.001,3,1000,0.99
61.8,3.017,1.672,3,1000,0.977
62.1,3.004,1.15,3,1000,1.0
62.4,2.996,1.356,3,1000,0.958
62.7,3.017,1.514,3,1000,0.98
63.0,3.001,1.327,3,1000,1.034
63.3,2.988,1.082,3,1000,0.957
63.6,2.999,1.219,3,1000,1.013
63.9,3.017,0.989,3,1000,0.997
64.2,3.014,0.678,3,1000,0.933
64.5,2.983,0.802,3,1000,1.015
64.8,2.994,0.532,3,1000,1.02
65.1,2.988,0.313,3,1000,0.976
65.4,2.99,0.452,3,1000,0.99
65.7,3.028,0.186,3,1000,1.001
66.0,3.211,0.496,3,1000,1.056
66.3,3.19,0.186,3,1000,1.024
66.6,3.17,0.131,3,1000,1.016
66.9,3.355,0.177,3,1000,1.11
67.2,3.509,0.034,3,1000,1.101
67.5,3.709,0.056,3,1000,1.005
67.8,3.752,0.026,3,1000,1.109
68.1,3.894,0.009,3,1000,1.098
68.4,4.142,0.035,3,1000,1.069
68.7,4.396,0.001,3,1000,1.088
69.0,4.382,0.166,3,1000,1.088
69.3,4.577,0.026,3,1000,1.147
69.6,4.798,0.496,3,1000,1.136
69.9,4.801,0.22,3,1000,1.065
70.2,4.952,0.015,3,1000,1.122
70.5,5.219,0.096,3,1000,1.102
70.8,5.251,0.155,3,1000,1.064
71.1,5.385,0.009,3,1000,1.087
71.4,5.591,0.523,3,1000,1.154
71.7,5.591,0.229,3,1000,1.171
72.0,5.731,0.061,3,1000,1.118
72.3,5.921,0.456,3,1000,1.1
72.6,5.913,0.171,3,1000,1.112
72.9,6.171,0.005,3,1000,1.113
73.2,6.226,0.331,3,1000,1.096
73.5,6.214,0.11,3,1000,1.135
73.8,6.326,0.183,3,1000,1.14
74.1,6.392,0.043,3,1000,1.105
74.4,6.667,0.03,3,1000,1.107
74.7,6.869,0.47,3,1000,1.096
75.0,6.865,0.188,3,1000,1.134
75.3,6.864,0.031,3,1000,1.095
75.6,6.928,0.122,3,1000,1.118
75.9,7.104,0.03,3,1000,1.084
76.2,7.381,0.032,3,1000,1.096
76.5,7.462,0.32,3,1000,1.148
76.8,7.581,0.026,3,1000,1.101
77.1,7.812,0.474,3,1000,1.118
77.4,7.804,0.113,3,1000,1.148
77.7,7.956,0.007,3,1000,1.098
78.0,8.143,0.447,3,1000,1.088
78.3,8.066,0.184,3,1000,1.113
78.6,8.378,0.036,3,1000,1.115
78.9,8.556,0.387,3,1000,1.113
79.2,8.53,0.072,3,1000,1.063
79.5,8.616,0.041,3,1000,1.072
79.8,8.781,0.191,3,1000,1.055
80.1,8.85,0.074,3,1000,1.079
80.4,9.09,0.035,3,1000,1.097
80.7,9.26,0.267,3,1000,1.132
81.0,9.292,0.021,3,1000,1.121
81.3,9.59,0.032,3,1000,1.085
81.6,9.63,0.389,3,1000,1.112
81.9,9.593,0.026,3,1000,1.068
82.2,9.864,0.076,3,1000,1.138
82.5,9.853,0.098,3,1000,1.118
82.8,10.029,0.042,3,1000,1.109
83.1,10.17,0.035,3,1000,1.104
83.4,10.51,0.044,3,1000,1.051
83.7,10.771,0.021,3,1000,1.142
84.0,10.966,0.074,3,1000,1.092
84.3,11.104,0.01,3,1000,1.093
84.6,11.252,0.014,3,1000,1.15
84.9,11.534,0.129,3,1000,1.104
85.2,11.515,0.034,3,1000,1.153
85.5,11.769,0.035,3,1000,1.096
85.8,12.084,0.017,3,1000,1.098
86.1,12.064,0.271,3,1000,1.068
86.4,12.198,0.017,3,1000,1.09
86.7,12.367,0.0,3,1000,1.081
87.0,12.376,0.155,3,1000,1.107
87.3,12.573,0.026,3,1000,1.112
87.6,12.894,0.0,3,1000,1.074
87.9,12.88,0.293,3,1000,1.088
88.2,12.875,0.103,3,1000,1.099
88.5,12.827,0.207,3,1000,1.079
88.8,13.084,0.023,3,1000,1.039
89.1,13.288,0.175,3,1000,1.123
89.4,13.255,0.214,3,1000,1.05
89.7,13.504,0.01,3,1000,1.143
90.0,13.757,0.025,3,1000,1.089
90.3,13.866,0.375,3,1000,1.024
90.6,13.851,0.23,3,1000,1.039
90.9,14.14,0.042,3,1000,1.117
91.2,14.139,0.249,3,1000,1.082
91.5,14.211,0.02,3,1000,1.082
91.8,14.53,0.065,3,1000,1.107
92.1,14.49,0.279,3,1000,1.134
92.4,14.636,0.017,3,1000,1.077
92.7,14.828,0.398,3,1000,1.114
93.0,14.807,0.159,3,1000,1.084
93.3,14.99,0.014,3,1000,1.055
93.6,15.296,0.0,3,1000,1.113
93.9,15.588,0.0,3,1000,1.089
94.2,15.907,0.0,3,1000,1.1
94.5,4.099,0.487,3,1000,1.05
94.8,4.072,0.045,3,1000,1.099
95.1,4.432,0.021,3,1000,1.126
95.4,4.369,0.257,3,1000,1.07
95.7,4.352,0.0,3,1000,1.116
96.0,4.59,0.168,3,1000,1.116
96.3,4.615,0.069,3,1000,1.096
96.6,4.737,0.012,3,1000,1.099
96.9,4.731,0.143,3,1000,1.112
97.2,4.942,0.042,3,1000,1.061
97.5,5.014,0.112,3,1000,1.079
97.8,5.085,0.071,3,1000,1.053
98.1,5.338,0.016,3,1000,1.08
98.4,5.338,0.148,3,1000,1.052
98.7,5.465,0.077,3,1000,1.045
99.0,5.679,0.024,3,1000,1.082
99.3,5.766,0.396,3,1000,1.069
99.6,5.813,0.004,3,1000,1.099
99.9,5.886,0.14,3,1000,1.138
100.2,5.982,0.053,3,1000,1.077
100.5,6.175,0.112,3,1000,1.118
100.8,6.164,0.111,3,1000,1.087
101.1,6.381,0.01,3,1000,1.068
101.4,6.55,0.257,3,1000,1.127
101.7,6.532,0.235,3,1000,1.124
102.0,6.701,0.06,3,1000,1.065
102.3,6.781,0.028,3,1000,1.115
102.6,6.907,0.017,3,1000,1.072
102.9,7.148,0.09,3,1000,1.084
103.2,7.18,0.254,3,1000,1.107
103.5,7.277,0.043,3,1000,1.127
103.8,7.431,0.2,3,1000,1.068
104.1,7.411,0.019,3,1000,1.105
104.4,7.634,0.051,3,1000,1.163
104.7,7.728,0.227,3,1000,1.118
105.0,7.911,0.076,3,1000,1.09
105.3,8.014,0.221,3,1000,1.103
105.6,8.134,0.006,3,1000,1.088
105.9,8.338,0.184,3,1000,1.107
106.2,8.327,0.019,3,1000,1.121
106.5,8.541,0.149,3,1000,1.104
106.8,8.708,0.055,3,1000,1.098
107.1,8.689,0.026,3,1000,1.103
